file,metric,b00,b01,b10,b11,chi2,p
type1_whole_different.csv,Free from compilation error?,0,16,0,48,14.0625,0.000176835
type1_whole_different.csv,Pass the test cases?,0,46,0,0,44.02173913043478,3.247489648337693e-11
type1_whole_different.csv,Can GPT-4o refactor it?,0,18,0,46,16.055555555555557,6.1510890352728e-05
Type-3_code_fragment_same.csv,Free from compilation error?,0,1,0,6,0,1
Type-3_code_fragment_same.csv,Pass the test cases?,0,6,0,0,4.166666666666667,0.041226833
Type-3_code_fragment_same.csv,Can GPT-4o refactor it?,0,1,0,6,0,1
Type-3_code_fragment_different.csv,Free from compilation error?,0,1,0,5,0,1
Type-3_code_fragment_different.csv,Pass the test cases?,0,5,0,0,3.2,0.07363827
Type-3_code_fragment_different.csv,Can GPT-4o refactor it?,0,1,0,5,0,1
Type-2_code_fragment_same.csv,Free from compilation error?,0,26,0,162,24.03846153846154,9.443043861123422e-07
Type-2_code_fragment_same.csv,Pass the test cases?,0,162,0,0,160.00617283950618,1.1279754453082761e-36
Type-2_code_fragment_same.csv,Can GPT-4o refactor it?,0,66,0,122,64.01515151515152,1.2346601367334932e-15
type_3_whole_same.csv,Free from compilation error?,0,1,0,9,0,1
type_3_whole_same.csv,Pass the test cases?,0,3,0,0,1.3333333333333333,0.24821307898992026
type_3_whole_same.csv,Can GPT-4o refactor it?,0,1,0,9,0,1
Type-2_code_fragment_different.csv,Free from compilation error?,0,20,0,65,18.05,2.1517864378120194e-05
Type-2_code_fragment_different.csv,Pass the test cases?,0,65,0,0,63.01538461538462,2.0509832838431058e-15
Type-2_code_fragment_different.csv,Can GPT-4o refactor it?,0,27,0,58,25.037037037037038,5.623957756679242e-07
type_2_whole_same.csv,Free from compilation error?,0,10,0,128,8.1,0.004426526
type_2_whole_same.csv,Pass the test cases?,0,123,0,0,121.00813008130082,3.8056910407486896e-28
type_2_whole_same.csv,Can GPT-4o refactor it?,0,12,0,126,10.083333333333334,0.001496164
Type-1_code_fragment_same.csv,Free from compilation error?,0,8,0,49,6.125,0.013328328780817572
Type-1_code_fragment_same.csv,Pass the test cases?,0,49,0,0,47.02040816326531,7.0251371934582854e-12
Type-1_code_fragment_same.csv,Can GPT-4o refactor it?,0,8,0,49,6.125,0.013328328780817572
Type-1_code_fragment_different.csv,Free from compilation error?,0,7,0,123,5.142857142857143,0.023342202012890813
Type-1_code_fragment_different.csv,Pass the test cases?,0,123,0,0,121.00813008130082,3.8056910407486896e-28
Type-1_code_fragment_different.csv,Can GPT-4o refactor it?,0,8,0,122,6.125,0.013328328780817572
type_3_whole_different.csv,Free from compilation error?,0,0,0,2,inf,0
type_3_whole_different.csv,Pass the test cases?,0,1,0,1,0,1
type_3_whole_different.csv,Can GPT-4o refactor it?,0,1,0,1,0,1
type_2_whole_different.csv,Free from compilation error?,0,71,0,57,69.01408450704226,9.776276453874766e-17
type_2_whole_different.csv,Pass the test cases?,0,55,0,0,53.018181818181816,3.3047513038053017e-13
type_2_whole_different.csv,Can GPT-4o refactor it?,0,75,0,53,73.01333333333334,1.2877692185589684e-17
